lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
5,N,110,E,,,,,,,,,156.886,120.855,,471.781,982.404,688.562,362.469,1349.367,454.656,1753.042,1170.232,1346.065,1355.459,1442.825,1588.259,1637.31,1099.229,1315.06,1430.847,810.224,704.993,812.052,642.778,558.717,621.452,527.248,500.965,417.988,304.195,514.38,558.566,438.519,410.015,445.833,449.456,564.885,318.858,490.361,338.197,550.636
5,N,115,E,,,,,,,,,,,,,,,,159.366,,404.396,124.475,386.497,140.263,158.814,265.201,384.76,165.361,168.669,194.094,,,,,,,,,,,,,,,,,,,,,
5,N,120,E,,,,,,,,,,,,,,,,,,,,,233.44,313.03,269.192,309.944,392.877,665.468,611.447,905.098,730.788,676.143,261.92,508.532,612.694,719.316,454.667,595.52,652.536,1297.339,1077.958,1098.624,94.736,57.93,58.956,41.116,38.292,59.728,41.348,58.435
5,N,125,E,,,301.809,,,,,,695.937,347.065,834.171,747.156,1173.782,635.692,1126.735,1329.974,1854.873,1131.246,1243.915,1563.648,1708.504,1855.511,1923.958,2552.52,3010.949,5028.937,3867.209,3630.258,3130.418,2871.653,2636.514,2216.744,2312.139,2422.262,2073.748,1846.713,1642.554,2838.572,2868.798,2519.454,1430.985,1516.678,1505.968,1473.854,1113.463,1747.323,1170.625,1632.698
5,N,130,E,,,894.788,1767.294,470.749,410.238,334.709,519.845,2419.965,2696.955,2009.318,2202.422,2619.167,1677.516,1895.034,3406.01,3862.177,2320.052,2949.049,2946.292,2855.179,3115.132,3322.168,4524.415,5457.871,6838.078,6479.948,5345.357,5095.386,4655.414,4287.943,3494.198,3503.546,3667.956,3555.171,2660.57,2136.101,3257.845,3807.011,3686.124,5548.389,3841.395,3580.218,3770.575,2789.343,4334.134,3867.91,4127.308
5,N,135,E,,,869.067,851.219,477.172,561.764,317.601,623.849,1588.374,3422.678,1936.756,1269.166,1064.703,282.846,478.654,1622.284,1007.934,438.905,950.918,386.584,567.989,748.648,121.134,771.147,1409.357,1535.251,1529.839,630.532,2724.175,500.39,160.091,611.649,179.653,176.301,407.338,188.265,101.026,482.845,557.742,1084.007,2284.344,2531.926,3241.373,4569.63,2399.518,4620.495,1563.307,926.005
5,N,140,E,,,761.555,185.556,237.808,313.148,201.031,526.158,696.038,2169.139,1951.829,1744.853,938.968,665.709,272.755,1285.435,1275.709,851.117,773.701,1166.734,389.694,512.707,441.76,703.412,1166.521,2005.604,684.546,1023.323,2185.821,682.202,359.271,736.588,245.012,542.856,1396.899,1069.794,372.421,310.049,390.962,684.608,761.304,805.518,2283.224,3079.979,2537.405,3313.693,1048.22,682.369
5,N,145,E,,,246.358,,,130.094,79.637,440.894,,1547.175,1210.081,910.587,811.775,48.122,403.9,489.17,1178.063,664.244,578.728,1035.63,655.894,290.992,670.495,753.238,741.013,1215.658,749.764,1075.179,1004.544,770.429,938.486,2121.167,746.254,1000.241,1693.866,1430.431,1368.007,1132.348,535.061,853.963,912.772,965.31,848.276,991.369,428.807,1781.574,743.616,865.339
5,N,150,E,102.226,,110.264,1833.024,470.087,654.698,374.513,695.967,1359.204,3784.796,1509.734,2162.247,1728.447,879.118,277.25,1002.783,985.898,990.029,1163.118,2037.925,1218.596,520.924,1234.638,936.104,447.84,1105.226,695.908,2096.829,1590.127,1101.352,1370.386,2910.157,588.783,362.188,1250.729,853.91,767.107,831.739,1138.572,865.724,953.501,905.234,891.816,2533.199,2121.7,3675.698,775.046,1314.121
5,N,155,E,97.963,,173.02,1115.677,,176.253,511.949,2166.985,2232.08,3992.899,1975.003,1706.545,1602.812,2263.703,1465.401,1618.034,2292.479,1746.745,1205.867,2571.956,1292.768,350.563,1129.915,788.492,451.939,1301.019,892.49,1773.109,2426.461,1701.371,1134.895,1948.703,739.551,200.558,1160.357,662.181,881.44,755.316,1447.358,772.174,1143.931,1198.008,1118.336,2287.537,5641.901,5906.079,2586.726,1646.585
5,N,160,E,,,,992.717,,711.57,124.872,2452.775,2261.253,2512.963,1663.454,925.516,1596.898,1391.157,1364.621,1430.759,1489.617,1538.667,1069.304,1887.097,1290.316,214.19,1583.525,500.023,588.968,992.458,894.288,887.04,789.463,755.922,536.716,1395.838,733.513,327.086,876.429,819.929,755.63,966.314,914.113,292.902,876.909,1099.33,338.737,785.726,2652.606,2630.203,581.634,418.372
5,N,165,E,,424.937,,799.088,113.772,196.059,117.867,1257.846,964.232,1264.271,662.525,456.273,427.011,239.635,67.002,152.57,1244.493,701.542,236.586,968.439,1349.51,555.726,2187.228,761.082,1273.981,989.286,943.22,457.551,1120.828,690.501,511.336,1880.063,1049.3,604.104,302.634,973.341,754.955,1276.668,641.64,496.203,1033.13,453.106,635.696,723.315,2003.006,1696.808,1801.594,716.078
5,N,170,E,,684.337,923.763,1459.321,116.063,500.412,,1076.99,1572.069,1125.108,597.316,273.227,802.826,354.886,230.591,984.146,542.27,810.932,316.917,286.798,1121.723,655.471,729.865,663.485,312.327,588.854,305.528,410.757,240.054,228.319,438.621,622.328,253.679,1357.423,29.852,154.684,692.024,1712.79,115.474,108.059,512.96,291.728,602.064,442.999,1778.658,1529.363,2430.908,1495.316
5,N,175,E,,663.997,1064.244,1928.388,493.084,437.419,493.306,1192.969,1544.152,1073.414,390.612,610.136,996.886,566.965,934.247,3285.285,1679.459,1624.698,988.722,668.071,1596.707,1789.295,1615.29,669.526,993.353,963.779,409.363,852.778,531.068,385.945,889.108,122.67,605.787,2799.369,1165.746,2039.826,3428.848,6152.229,1820.472,718.896,1914.107,1021.167,1730.865,1470.779,386.878,475.217,1535.983,4410.56
