lat,lat_dir,long,long_dir,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,N,165,E,0.047540984,0.049499032,0.04357625,0.040704502,0.054757358,0.036316806,0.064100717,0.043769156,0.030198232,0.034647074,0.025036977,0.025376108,0.020798433,0.025792172,0.02384194,0.02434382,0.032148143,0.023264303,0.02852283,0.041244254
0,N,170,E,0.051350423,0.065823974,0.061871816,0.062711975,0.055370544,0.039523331,0.052576684,0.049664477,0.032314321,0.04591761,0.033256613,0.037208648,0.027789023,0.023779617,0.03897127,0.030132153,0.033548582,0.028985034,0.026339387,0.034370147
0,N,175,E,0.05185295,0.083987229,0.082418601,0.070586553,0.04899131,0.043886792,0.042874726,0.045052173,0.034988435,0.043453781,0.035166797,0.041724443,0.037913068,0.030563721,0.033471007,0.03068016,0.030754985,0.02812877,0.029149391,0.034533881
0,N,155,W,0.037037301,0.041254431,0.075482869,0.058304333,0.042348219,0.043449681,0.043420769,0.042928717,0.03928695,0.043486349,0.03665418,0.044532423,0.040288598,0.03699435,0.048922516,0.031393693,0.030940559,0.032835584,0.029322213,0.045384872
0,N,160,W,0.037392218,0.039666743,0.063160062,0.04842323,0.033294365,0.042158965,0.0377347,0.033468775,0.03952405,0.042366507,0.034999965,0.044516006,0.041310473,0.040358603,0.043861507,0.03531694,0.034238748,0.040747073,0.032420378,0.045525073
0,N,165,W,0.038008916,0.053367063,0.064535355,0.055217616,0.036819105,0.035761344,0.040704532,0.039941289,0.035822914,0.040752183,0.03408519,0.050089944,0.044147324,0.036847934,0.043453139,0.03903611,0.037728936,0.037052924,0.034441483,0.043480958
0,N,170,W,0.040884019,0.044072435,0.056249651,0.052584884,0.032666502,0.042865121,0.03941725,0.048701656,0.031647855,0.041424415,0.033572162,0.045898839,0.046675175,0.032673946,0.036055225,0.029190644,0.029554229,0.026875137,0.030871982,0.038850009
0,N,175,W,0.039984453,0.040261119,0.060317203,0.044753249,0.031930207,0.044446416,0.038184622,0.045128151,0.033136892,0.037889059,0.034556991,0.043818316,0.04642164,0.03246529,0.038807531,0.032481377,0.029942355,0.034368529,0.026535733,0.044460235
0,N,180,W,0.043376292,0.030779007,0.066877234,0.04576352,0.033622579,0.037717181,0.048460291,0.05334777,0.034525321,0.036287787,0.032731513,0.039288045,0.039515199,0.033474539,0.034317956,0.036007506,0.035254441,0.027729138,0.024664492,0.042140937
5,N,105,E,,,,,,,,,,,,,,,,0.025603707,,,,
5,N,110,E,0.053358056,0.0315556,0.040702349,0.056457766,0.036814672,0.03337283,0.019311033,0.01418366,0.020387188,,,,,,0.03050951,,0.034621757,,,
5,N,115,E,,,,,,,,,,,,,0.018266196,0.055293889,0.038555785,0.030751292,0.022370012,0.019918003,,
5,N,120,E,0.05478276,0.037653787,0.043440283,0.07611827,0.032858318,0.037345022,0.017813072,0.012246679,0.022057129,,0.022488742,,0.03072067,0.064055274,0.027250889,0.028022107,0.023259103,,,
5,N,125,E,0.052018874,0.037283696,0.038631077,0.07176691,0.037168627,0.034731442,0.01880615,0.013561529,0.016481936,0.032984732,,0.009486056,0.037692571,,0.017081569,0.029873443,0.01930844,0.023166983,0.026756516,0.026086866
5,N,130,E,0.040674176,0.040751737,0.035144192,0.048545992,0.029122005,0.024455831,0.021846438,0.017562257,0.02004745,0.020413886,0.02394399,0.023072101,0.022163164,0.027978601,0.025060498,0.018898584,0.024893191,0.023509378,0.03437536,0.026586963
