lat,lat_dir,long,long_dir,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
0,N,155,E,11335,17080,1939.05,7477.77,1155.69,5761.59,9591.98,6334.15,9322.44,,10060.26,33745.47,15350.77,15475.92,6724.32,5723.15,27133.44,12147,18234.82,30859.78,13135.5,21817.61,33167.98,31483.93,11154.02,34743.1,53525.46,67793.39,75151.63,124155.61,91539.09,60084.56,53698.61,59433.63,60857.58,82497.11,43884.05,68231.47,73457.05,76663.35,106703.57,61240.16,85107.66,67375.38,77801.53,73961.96,106241.52,63634.72,49969.02
0,N,160,E,3994,12472,,6578.2,,2564.84,1016.5,15105.49,17212.09,4158.85,8115,20534.43,19352.86,26004.96,9539.98,5614.5,25929.15,15099.2,26800.98,30191.35,13978.78,15859.57,31621.52,23494.51,15741.08,33646.1,35023.53,27640.98,27273.03,63115.16,34852.2,27010.19,48461.04,47039.01,62419.46,49014.94,37314.77,58393.95,32534.94,67858.53,66767.85,30855.65,71064.88,27985.62,59608.01,49570.68,50664.12,52418.41,45928.26
0,N,165,E,6692,7218,,1034.23,,,,26191.26,9224.89,6931.02,9091.27,9338.4,10424.01,29929.49,6621.49,2548.77,32802.15,15113.14,12196.8,23747.3,11258.32,23273.75,70903.86,42426.99,38869.66,22979.47,47196.97,33201.54,29682.99,45262.71,40504.58,42626.55,60062.04,23368.84,23427.3,17146.41,4533,14645.82,10458.5,21605.17,34132.73,14804.48,53843.77,15547.36,32665.81,31414.38,79756.64,26677.89,13770.7
0,N,170,E,,,2127.9,,,2214,849.3,16166.08,3102.38,,6167.8,2034.46,1384.2,24680.44,3293.04,3050.95,12414.95,4429.87,5347.84,9344.99,3966.22,6906.89,30983.02,9832.51,13304.78,12676.36,16164.67,14817.57,6439.66,20077.14,38410.87,14567.2,27282.98,7176,31023,2530.68,2678,13614.45,1660.16,28799.44,29740.04,3244.74,48941.7,15931.84,49997.51,44346.14,37528.84,14208.04,2247.54
0,N,175,E,,,,8681.75,,882.83,,2420.07,4714.37,7321.62,3555,1922.38,8962.82,11506.48,5085.05,21910.09,5304.39,10246.64,10359.73,5637.86,5830.46,8907.43,20927.63,2747.02,12879.14,15882.75,16979.74,23540.36,11588.26,21007.71,36036.83,15010,64891.95,74731.88,37991.48,45484.99,56728.38,71058.67,30137.58,38077.38,49419.47,32185.9,57334.87,29595.39,31143.29,42449.44,62160.63,82089.25,64199.83
0,N,180,W,,,4090.86,10651.09,802.41,7782.08,842.65,6687.71,14751.79,12723.96,4093.33,18977.61,6481.4,21742.67,10745.6,18020.66,5187.29,4185.68,5950.03,9444.27,9667.04,7465.84,9822.17,1687.7,5416.36,8483.1,17667.56,24410.54,12605.06,18792.87,31362.42,4468.25,16797.39,8294.14,6149.3,2875.06,,3911.74,2090.23,8202.76,10118.16,3839.9,14625.23,3580.67,7724.65,11601.91,4509.66,4141.63,9657.52
0,N,175,W,,,1899.55,3067.11,2965.11,2099.72,1519.54,4614.6,15593.37,8689,8232.55,11990.66,8752.3,17553.7,6860.28,9926.98,7949.14,6876.99,3755.87,3207.59,10177.98,11915.97,14788.38,4338.32,6535.37,1984.86,16730.18,15969.84,16995.84,46034.52,29599.02,15850.38,32711.1,19646.66,28135.58,12682.48,6205.73,20249.65,7997.54,28235.35,21189.43,9731.88,43862.45,12822.58,18541.53,48388.98,28344.66,26548.64,43136.56
0,N,170,W,,,1257.02,6416.95,,,,4008.49,16482.35,11709.6,3288.14,13282.16,8577.43,13316.23,2791.56,8539.6,5259.55,5123.2,3317.45,1796.97,6801.57,11639.61,23925.57,5159.76,6922.46,6921.01,19827.96,8720.44,15865.61,51537.3,29716.6,17163.39,27983.82,10324.25,19145.1,11225.34,5578.84,33817.64,21800.44,22242.65,19136.82,10912.77,36640.77,16786.94,22238.46,36647.35,19558,24554.99,55209.95
0,N,165,W,,,1443.08,1844.85,,,,1733.7,2606.29,10947.94,2946.28,11531.29,3402.16,17473.21,,13157.84,3453,10587.99,8632.46,6655.57,14937.82,15860,19550.6,925.61,5816.38,4229.1,27033.24,8349.61,11340.04,32081.63,21722.3,16359.2,11483.45,2129.77,25254.5,14019.93,901.87,23802.85,12156.39,15994.97,10882.4,4589.59,7389.34,5363.38,5314.46,9703.22,17767.59,14848.82,8784.44
0,N,160,W,,,,,,,983.1,3006.75,,815.06,,7110.38,1166.84,13690.8,2242.41,11023.01,4270.22,11390.19,10276.53,10432.67,11327.2,12122.24,26740.26,978.32,8621.34,3282.9,37652.02,14551.86,7416.1,6687.46,13185.68,28761.26,12738.65,1868.6,22068.04,23131.3,15059.29,33730.92,15349.99,17979.8,23793.73,4454.59,3828.41,10386.21,18534.7,33403.71,36370.63,21556.1,13739.17
