LAT,LAT_D,LONG,LONG_D,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
10,N,175,E,2541.212,2535.149,1411.685,2463.098,1561.386,1653.752,679.789,377.272,1835.272,999.849,1620.863,347.929,732.532,1319.387,610.683,486.189,865.478,2134.278,1108.759,646.602
10,N,155,W,59.653,92.374,114.948,52.856,,,,,643.153,80.936,16.807,406.408,,109.57,,3.961,72.096,123.328,,
10,N,160,W,632.384,494.766,730.091,579.864,45.443,59.466,449.527,265.411,841.11,948.525,349.898,1599.262,311.434,137.54,91.293,44.082,96.547,34.251,42.88,52.502
10,N,165,W,2568.462,611.523,1288.521,795.665,745.049,888.098,620.176,802.505,855.655,1274.05,860.812,928.548,704.726,387.691,350.095,581.741,792.453,276.377,598.939,640.961
10,N,170,W,1063.02,636.395,822.225,535.301,1115.388,1094.128,563.538,639.856,772.946,1250.989,893.099,1140.929,606.122,1434.726,971.873,1020.915,1489.438,1520.83,1737.863,1442.292
10,N,175,W,956.948,412.137,95.592,286.244,783.721,277.566,330.736,349.051,945.216,632.932,1215.178,738.234,407.337,2407.212,647.313,372.555,1765.892,1899.503,1296.624,1289.811
10,N,180,W,513.859,113.89,145.59,454.535,682.64,229.156,342.957,362.813,591.707,744.553,743.16,376.947,377.492,2231.626,1078.034,266.685,1974.95,2479.802,1106.885,735.455
15,N,105,E,,,,,,,,,,,,,,,,,,,,
15,N,110,E,897.721,624.698,899.735,1144.982,864.406,3153.319,3190.536,3195.172,3235.441,3753.708,3896.124,3911.76,4101.636,3994.034,4048.873,4063.986,3912.051,4331.517,4479.652,3966.624
15,N,115,E,2730.727,1884.017,2680.174,3531.999,2665.86,4521.93,4363.009,3997.488,4176.316,10860.713,12477.15,7775.395,4727.146,4694.859,4259.442,4492.619,4772.424,4511.257,4889.999,3994.646
15,N,120,E,3592.893,2487.184,3349.13,4583.835,3460.559,2629.069,2252.299,1586.713,1807.403,1742.325,2073.66,309.315,366.211,825.73,341.496,472.423,360.04,221.143,173.219,116.252
15,N,125,E,3077.761,2225.75,3323.878,3849.348,2920.352,3068.025,2149.135,1618.355,1813.47,309.515,471.52,246.525,1237.12,841.966,931.501,1952.27,965.766,1004.525,776.654,707.927
15,N,130,E,652.787,239.488,832.076,744.007,729.106,1092.383,781.129,758.892,884.235,331.117,282.133,532.849,864.315,767.508,1000.839,1325.157,897.608,972.474,694.724,1193.668
15,N,135,E,498.519,55.358,448.048,568.208,57.424,843.729,1346.416,638.784,878.28,330.906,519.651,296.639,438.866,283.031,411.539,1174.935,532.407,674.316,765.655,1282.114
15,N,140,E,,,80.145,,,,281.657,158.141,,,238.293,267.068,85.942,200.955,211.802,374.615,686.988,734.249,1122.908,771.021
15,N,145,E,,,,77.897,,,,,,,,,,54.471,40.197,23.889,163.682,195.7,234.127,
15,N,150,E,89.462,205.481,527.377,1029.34,738.912,1406.005,2079.933,783.028,584.807,725.517,879.895,470.681,1239.941,1628.941,2119.229,1929.523,1708.675,2023.549,2001.775,1810.062
15,N,155,E,,435.278,57.041,491.213,520.911,1242.765,367.737,247.547,,218.489,252.255,84.347,387.914,610.452,1285.611,755.989,910.568,1209.282,1061.382,704.635
15,N,160,E,,,355.88,214.066,236.604,334.922,627.447,286.324,,,127.819,404.382,265.844,264.318,599.807,226.764,322.109,1142.189,897.573,994.325
15,N,165,E,,,,,,,,,,,,,18.164,,,,,19.672,46.265,49.074
15,N,170,E,,,,,,,429.212,410.667,66.111,,186.352,,59.153,113.157,14.872,,,646.422,358.337,137.181
15,N,175,E,,60.534,,62.5,517.2,91.81,641.967,151.251,25.962,47.264,416.722,,214.35,577.416,67.271,,31.639,353.83,635.463,329.602
